rank,condition,seed,control_aa,treatment_aa,aa_gain_pp,control_af,treatment_af,af_reduction_pp,effective_rank_change,overlap_reduction,basis_overlap_reduction,control_effective_rank,treatment_effective_rank,control_prototype_overlap,treatment_prototype_overlap,control_basis_overlap,treatment_basis_overlap
8,gaussian_prototype_only,8425,79.7737116684373,80.00589727387229,0.23218560543499223,2.741932257344332,2.752668989332781,-0.010736731988449044,-30.322036743164062,-0.28662609308958054,-0.028935670852661133,163.22824096679688,132.9062042236328,0.08757186681032181,0.37419795989990234,0.3637203872203827,0.3926560580730438
8,gaussian_prototype_only,8427,79.5827331861079,79.44303279860546,-0.13970038750244385,3.0325463281216827,3.3188359008024593,-0.2862895726807766,-32.065460205078125,-0.31105827540159225,0.07878798246383667,163.42832946777344,131.3628692626953,0.0841449573636055,0.39520323276519775,0.4446166455745697,0.36582866311073303
8,gaussian_prototype_only,8429,80.05329364920894,80.59742432620209,0.5441306769931487,2.5933953392345774,2.3326263166076244,0.260769022626953,-31.888595581054688,-0.3049725592136383,0.08043274283409119,162.68812561035156,130.79953002929688,0.0860896110534668,0.3910621702671051,0.5091149210929871,0.4286821782588959
8,inverse_object_aware,8411,79.61195792984512,80.09521902944054,0.48326109959542407,3.2701371397285626,2.417126800059152,0.8530103396694106,-4.3704833984375,-0.016065694391727448,-0.5489684641361237,163.3138885498047,158.9434051513672,0.08477650582790375,0.1008422002196312,0.4509107768535614,0.9998792409896851
8,inverse_object_aware,8413,79.60897214331382,79.73982453607238,0.13085239275855542,3.0271457203786474,2.981233490383126,0.04591222999552125,-3.712371826171875,-0.01802591234445572,-0.6483495533466339,162.9915771484375,159.27920532226562,0.08454606682062149,0.10257197916507721,0.35152485966682434,0.9998744130134583
8,inverse_object_aware,8415,79.90136382273309,79.69441652747464,-0.2069472952584448,3.1236787891992988,3.0554583384182994,0.06822045078099936,-3.759124755859375,-0.01631360501050949,-0.44447198510169983,163.1690216064453,159.40989685058594,0.08670243620872498,0.10301604121923447,0.31681230664253235,0.7612842917442322
8,inverse_object_aware,8417,79.87177018496013,80.05956906853712,0.18779888357698837,2.9499756558224464,2.500020302100716,0.44995535372173023,-3.2281494140625,-0.01440369337797165,-0.6935124695301056,162.58164978027344,159.35350036621094,0.08906186372041702,0.10346555709838867,0.30637022852897644,0.999882698059082
8,inverse_object_aware,8419,80.14608505404252,79.85354801307597,-0.2925370409665504,2.7830380462548336,2.80990194089783,-0.02686389464299621,-3.323944091796875,-0.014264442026615143,-0.5131013691425323,162.5634307861328,159.23948669433594,0.08770141005516052,0.10196585208177567,0.4868146479129791,0.9999160170555115
8,inverse_object_aware,8421,79.94974103582625,79.90568831214458,-0.044052723681673456,2.5871172321712863,2.6704210419336945,-0.08330380976240814,-3.218963623046875,-0.016360796988010406,-0.5888940095901489,162.58995056152344,159.37098693847656,0.08849824219942093,0.10485903918743134,0.41103458404541016,0.9999285936355591
8,inverse_object_aware,8423,79.72536954683787,79.84506361231604,0.1196940654781713,3.00962551151726,2.958071189957875,0.051554321559384775,-3.3425445556640625,-0.020744405686855316,-0.4510188102722168,162.7041015625,159.36155700683594,0.08454287052154541,0.10528727620840073,0.548801600933075,0.9998204112052917
8,inverse_object_aware,8425,79.7737116684373,80.23994696050086,0.4662352920635584,2.741932257344332,2.298784449599836,0.4431478077444959,-3.9040679931640625,-0.014670059084892273,-0.6361988484859467,163.22824096679688,159.3241729736328,0.08757186681032181,0.10224192589521408,0.3637203872203827,0.9999192357063293
8,inverse_object_aware,8427,79.5827331861079,79.88165389450653,0.29892070839862583,3.0325463281216827,2.5379542335114555,0.49459209461022713,-3.9827728271484375,-0.0177370086312294,-0.3873799741268158,163.42832946777344,159.445556640625,0.0841449573636055,0.1018819659948349,0.4446166455745697,0.8319966197013855
8,inverse_object_aware,8429,80.05329364920894,79.9702604820521,-0.08303316715684161,2.5933953392345774,2.9652667130631016,-0.3718713738285242,-3.363189697265625,-0.01783023029565811,-0.4908018112182617,162.68812561035156,159.32493591308594,0.0860896110534668,0.10391984134912491,0.5091149210929871,0.9999167323112488
