cohort,seed,arm,stage,metric,value,unit
cohort 1,12405,lowrank,4,new_miou,25.372542918692613,percent
cohort 1,12405,lowrank,4,old_boundary_iou,24.798575840577556,percent
cohort 1,12405,lowrank,4,old_boundary_margin,1.7529882192611694,logit
cohort 1,12405,lowrank,4,old_miou,42.140320635407754,percent
cohort 1,12405,lowrank,5,all_miou,42.252828258146714,percent
cohort 1,12405,lowrank,5,new_miou,68.77700347345082,percent
cohort 1,12405,lowrank,5,old_boundary_iou,20.76095990009686,percent
cohort 1,12405,lowrank,5,old_boundary_margin,1.4221028089523315,logit
cohort 1,12405,lowrank,5,old_miou,38.917472631023486,percent
cohort 1,12405,lowrank,6,all_miou,35.376115894509674,percent
cohort 1,12405,lowrank,6,new_miou,10.994447783871758,percent
cohort 1,12405,lowrank,6,old_boundary_iou,20.781203709870685,percent
cohort 1,12405,lowrank,6,old_boundary_margin,8.588020324707031,logit
cohort 1,12405,lowrank,6,old_miou,35.96925950113635,percent
cohort 1,12405,lowrank,7,all_miou,29.394182068795775,percent
cohort 1,12405,lowrank,7,new_miou,8.845957946833996,percent
cohort 1,12405,lowrank,7,old_boundary_iou,17.009336805123553,percent
cohort 1,12405,lowrank,7,old_boundary_margin,5.050663471221924,logit
cohort 1,12405,lowrank,7,old_miou,30.052492520518705,percent
cohort 1,12405,lowrank,8,all_miou,28.72541230981705,percent
cohort 1,12405,lowrank,8,new_miou,7.927463092049475,percent
cohort 1,12405,lowrank,8,old_boundary_iou,10.968079064388611,percent
cohort 1,12405,lowrank,8,old_boundary_margin,3.397179126739502,logit
cohort 1,12405,lowrank,8,old_miou,29.129387644232533,percent
cohort 1,12405,lowrank,9,all_miou,18.102198212772883,percent
cohort 1,12405,lowrank,9,new_miou,11.95613243913576,percent
cohort 1,12405,lowrank,9,old_boundary_iou,7.4013194908741085,percent
cohort 1,12405,lowrank,9,old_boundary_margin,2.664123296737671,logit
cohort 1,12405,lowrank,9,old_miou,17.118137211874984,percent
cohort 1,12405,lowrank_ssr,1,all_miou,72.5445889855498,percent
cohort 1,12405,lowrank_ssr,1,new_miou,33.59149941993715,percent
