task_family,dataset,model,run_id,recipe,distance_mapping,seed,data_offset,n_edits,metric,value,result_path
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9327/results.json,full,projective,9327,500,100,locality,9.96635415238356,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9329/results.json,full,projective,9329,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9329/results.json,full,projective,9329,500,100,final_history_efficacy,15.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9329/results.json,full,projective,9329,500,100,final_history_locality,9.291571582012757,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9329/results.json,full,projective,9329,500,100,locality,7.988632037896746,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9311/results.json,plain,none,9311,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9311/results.json,plain,none,9311,500,100,final_history_efficacy,6.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9311/results.json,plain,none,9311,500,100,final_history_locality,5.078361344537815,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9311/results.json,plain,none,9311,500,100,locality,7.258061627914571,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9313/results.json,plain,none,9313,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9313/results.json,plain,none,9313,500,100,final_history_efficacy,6.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9313/results.json,plain,none,9313,500,100,final_history_locality,10.890320627085332,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9313/results.json,plain,none,9313,500,100,locality,8.39460188504306,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9315/results.json,plain,none,9315,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9315/results.json,plain,none,9315,500,100,final_history_efficacy,6.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9315/results.json,plain,none,9315,500,100,final_history_locality,5.9419907706672435,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9315/results.json,plain,none,9315,500,100,locality,9.05762815615757,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9317/results.json,plain,none,9317,500,100,efficacy,99.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9317/results.json,plain,none,9317,500,100,final_history_efficacy,12.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9317/results.json,plain,none,9317,500,100,final_history_locality,10.256392055656761,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9317/results.json,plain,none,9317,500,100,locality,8.751817463582169,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9319/results.json,plain,none,9319,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9319/results.json,plain,none,9319,500,100,final_history_efficacy,8.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9319/results.json,plain,none,9319,500,100,final_history_locality,4.711255819344056,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9319/results.json,plain,none,9319,500,100,locality,7.907343881608588,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9321/results.json,plain,none,9321,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9321/results.json,plain,none,9321,500,100,final_history_efficacy,14.000000000000002,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9321/results.json,plain,none,9321,500,100,final_history_locality,6.35888180447004,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9321/results.json,plain,none,9321,500,100,locality,8.001473200002613,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9323/results.json,plain,none,9323,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9323/results.json,plain,none,9323,500,100,final_history_efficacy,11.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9323/results.json,plain,none,9323,500,100,final_history_locality,5.023740556828793,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9323/results.json,plain,none,9323,500,100,locality,8.45164720900015,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9325/results.json,plain,none,9325,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9325/results.json,plain,none,9325,500,100,final_history_efficacy,10.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9325/result_record.json
