seed,arm,ssr_lambda,edits,immediate_efficacy_pct,immediate_locality_pct,immediate_rephrase_pct,history_efficacy_pct,pre_edit_output_consistency_pct,center_surround_contrast,kernel_alignment,effective_rank,source_sha256
14235,LoRA,0.0,50,60.0,0.0,48.0,0.0,28.79714872688055,-0.003730467173487081,0.0012086568075184395,6.943430495049272,3dd464928cda5f15b15305238e07a9955a825aee66adc98c017da3c9f7ee70a8
14235,LoRA,0.0,100,54.0,0.0,45.0,1.0,25.054041296243668,-0.005223997876393176,0.00024750019708465404,6.93201552757195,3dd464928cda5f15b15305238e07a9955a825aee66adc98c017da3c9f7ee70a8
14235,LoRA,0.0,250,40.400000000000006,1.2,32.4,0.0,20.97676508128643,-0.005910899404625525,-0.0024767755142290427,7.0782453162329535,3dd464928cda5f15b15305238e07a9955a825aee66adc98c017da3c9f7ee70a8
14236,LoRA,0.0,1,100.0,0.0,0.0,100.0,18.24493557214737,-0.007308607871112014,-0.008296022585584848,6.1479321750147005,3ecd2db0f9c86f2ed5c95901e024ab8c1b2a17d4d40ad7e0b7d9aeee68f962ec
14236,LoRA,0.0,2,100.0,0.0,50.0,50.0,17.836223542690277,-0.005516383233563309,-0.00610697555940273,6.158203122871263,3ecd2db0f9c86f2ed5c95901e024ab8c1b2a17d4d40ad7e0b7d9aeee68f962ec
14236,LoRA,0.0,5,60.0,0.0,40.0,0.0,29.926753416657448,-0.00237378318420919,-0.0039198950962194045,6.259193209665162,3ecd2db0f9c86f2ed5c95901e024ab8c1b2a17d4d40ad7e0b7d9aeee68f962ec
14236,LoRA,0.0,10,80.0,0.0,50.0,10.0,17.82541498541832,-0.0009197670847892628,-0.0008390589454003411,6.459447464772633,3ecd2db0f9c86f2ed5c95901e024ab8c1b2a17d4d40ad7e0b7d9aeee68f962ec
14236,LoRA,0.0,25,64.0,0.0,56.00000000000001,8.0,17.82541498541832,-0.0022142751570624697,-0.0014724920842062211,6.8394013079149385,3ecd2db0f9c86f2ed5c95901e024ab8c1b2a17d4d40ad7e0b7d9aeee68f962ec
14236,LoRA,0.0,50,68.0,0.0,60.0,2.0,32.98355061560869,-0.0037768847947258367,-0.003512899202697944,7.024977774492331,3ecd2db0f9c86f2ed5c95901e024ab8c1b2a17d4d40ad7e0b7d9aeee68f962ec
14236,LoRA,0.0,100,74.0,0.0,53.0,0.0,17.891347222030163,-0.005652333138901408,-0.004668218824268219,7.125496493918555,3ecd2db0f9c86f2ed5c95901e024ab8c1b2a17d4d40ad7e0b7d9aeee68f962ec
14236,LoRA,0.0,250,63.6,0.2,47.199999999999996,0.78125,18.1389220058918,-0.004898505720900306,-0.00646782846784585,7.1276175406362325,3ecd2db0f9c86f2ed5c95901e024ab8c1b2a17d4d40ad7e0b7d9aeee68f962ec
14237,LoRA,0.0,1,100.0,0.0,100.0,100.0,22.618279792368412,-0.00482335794159943,-0.005893794033779288,6.120752741183553,0d29973fd01aadc4df444f71f795927c93367253bb86b278b6c933fed8ff62bb
14237,LoRA,0.0,2,100.0,0.0,50.0,50.0,22.536463849246502,-0.005222577679887763,-0.004606981733949007,6.278582543134689,0d29973fd01aadc4df444f71f795927c93367253bb86b278b6c933fed8ff62bb
14237,LoRA,0.0,5,100.0,0.0,80.0,40.0,22.535965777933598,-0.005372167116937427,-0.0026221410945644103,6.525885318006788,0d29973fd01aadc4df444f71f795927c93367253bb86b278b6c933fed8ff62bb
14237,LoRA,0.0,10,90.0,0.0,60.0,10.0,22.67202101647854,-0.00016235057410085563,-0.00014149064892470583,6.563274913600512,0d29973fd01aadc4df444f71f795927c93367253bb86b278b6c933fed8ff62bb
14237,LoRA,0.0,25,76.0,0.0,40.0,0.0,22.540117613971233,-0.004870341276858069,-0.0053553635069485085,6.876468628644943,0d29973fd01aadc4df444f71f795927c93367253bb86b278b6c933fed8ff62bb
14237,LoRA,0.0,50,68.0,0.0,42.0,2.0,22.68927861005068,-0.0026703605295291966,-0.0033125970497037216,7.059021316468716,0d29973fd01aadc4df444f71f795927c93367253bb86b278b6c933fed8ff62bb
14237,LoRA,0.0,100,62.0,0.0,40.0,0.0,22.872339375317097,-0.005387342550550654,-0.005541727555932344,7.122793427535466,0d29973fd01aadc4df444f71f795927c93367253bb86b278b6c933fed8ff62bb
14237,LoRA,0.0,250,54.0,0.2,32.4,0.78125,22.45919518172741,-0.0032898407241321237,-0.003869218548061326,7.285824717155524,0d29973fd01aadc4df444f71f795927c93367253bb86b278b6c933fed8ff62bb
14238,LoRA,0.0,1,100.0,0.0,100.0,100.0,18.328250013291836,-0.004761904611119202,-0.004718519457388278,6.237665866102491,03d035a30a4a90db55fa7b2ee4601290599b43a2609262c0a89179f64ba740c2
14238,LoRA,0.0,2,100.0,0.0,100.0,50.0,18.335319869220257,-0.0022139234674146534,-0.0015638369800236823,6.336507549243314,03d035a30a4a90db55fa7b2ee4601290599b43a2609262c0a89179f64ba740c2
14238,LoRA,0.0,5,100.0,0.0,100.0,20.0,18.505779281258583,-0.0016163582227558696,-0.000701256149341134,6.574786222406796,03d035a30a4a90db55fa7b2ee4601290599b43a2609262c0a89179f64ba740c2
14238,LoRA,0.0,10,100.0,0.0,80.0,10.0,22.06492554396391,-0.007116274986141694,-0.008639474881420028,6.713679578687463,03d035a30a4a90db55fa7b2ee4601290599b43a2609262c0a89179f64ba740c2
14238,LoRA,0.0,25,92.0,0.0,64.0,0.0,18.346286565065384,-0.0026851119255297817,-0.0007996489762263082,6.832510967339788,03d035a30a4a90db55fa7b2ee4601290599b43a2609262c0a89179f64ba740c2
14238,LoRA,0.0,50,72.0,2.0,42.0,0.0,25.498245656490326,-0.003744643282386408,-0.0007296209187188651,6.963712436812265,03d035a30a4a90db55fa7b2ee4601290599b43a2609262c0a89179f64ba740c2
14238,LoRA,0.0,100,69.0,1.0,41.0,3.0,19.50977984815836,-0.005776231865768621,-0.004139830129913338,7.02884917812688,03d035a30a4a90db55fa7b2ee4601290599b43a2609262c0a89179f64ba740c2
14238,LoRA,0.0,250,60.4,0.6,37.2,0.78125,18.38921122252941,-0.0054403667070021455,-0.0011593265856260715,7.084546656480857,03d035a30a4a90db55fa7b2ee4601290599b43a2609262c0a89179f64ba740c2
14239,LoRA,0.0,1,100.0,0.0,100.0,100.0,18.0580522865057,-0.009745528942793109,-0.008936089569033356,5.848275836024966,0054691857f3e7b62e5b94ac05dc5c2dbdaa41b60b6950e4c240e34fd4d2073b
14239,LoRA,0.0,2,100.0,0.0,100.0,50.0,18.0580522865057,-0.013064081457352066,-0.011062871534412417,6.082865472350802,0054691857f3e7b62e5b94ac05dc5c2dbdaa41b60b6950e4c240e34fd4d2073b
