dataset,rank,seed,edits,metric,unit,baseline,ssr,delta
WikiRecent,32,17637,5,effective_rank_fraction,dimensionless,0.6716138981282711,0.6632738254432168,-0.008340072685054323
WikiRecent,32,17638,5,effective_rank_fraction,dimensionless,0.69385130304311,0.6446517333388329,-0.04919956970427719
WikiRecent,32,17640,5,effective_rank_fraction,dimensionless,0.6377114049558129,0.6583858374506235,0.020674432494810602
WikiRecent,32,17631,5,near_row_cosine,dimensionless,-0.0004320041817404022,0.07595684307826948,0.07638884726000988
WikiRecent,32,17633,5,near_row_cosine,dimensionless,-0.0008280202720405733,0.07099630430872951,0.07182432458077008
WikiRecent,32,17637,5,near_row_cosine,dimensionless,-0.0012798359197664208,0.0734725782365006,0.07475241415626702
WikiRecent,32,17638,5,near_row_cosine,dimensionless,-0.0029685265664219124,0.06936913710420153,0.07233766367062344
WikiRecent,32,17640,5,near_row_cosine,dimensionless,0.0005064638708875334,0.07096720252385628,0.07046073865296876
WikiRecent,32,17631,5,surround_row_cosine,dimensionless,0.0019040804836549796,-0.011213178482908655,-0.013117258966563634
WikiRecent,32,17633,5,surround_row_cosine,dimensionless,0.004984956150305412,-0.00832087147994441,-0.01330582763024982
WikiRecent,32,17637,5,surround_row_cosine,dimensionless,0.004809018646743165,-0.009227292558145044,-0.01403631120488821
WikiRecent,32,17638,5,surround_row_cosine,dimensionless,0.004216484507196583,-0.00997445640781994,-0.014190940915016523
WikiRecent,32,17640,5,surround_row_cosine,dimensionless,0.0011211768040603992,-0.010117345227627084,-0.011238522031687483
WikiRecent,32,17631,10,immediate_efficacy,percent,70.0,60.0,-10.0
WikiRecent,32,17633,10,immediate_efficacy,percent,80.0,70.0,-10.0
WikiRecent,32,17637,10,immediate_efficacy,percent,80.0,80.0,0.0
WikiRecent,32,17638,10,immediate_efficacy,percent,70.0,70.0,0.0
WikiRecent,32,17640,10,immediate_efficacy,percent,90.0,100.0,10.0
WikiRecent,32,17631,10,immediate_locality_target_consistency,percent,5.611111111111111,5.611111111111111,0.0
WikiRecent,32,17633,10,immediate_locality_target_consistency,percent,6.666666666666667,6.666666666666667,0.0
WikiRecent,32,17637,10,immediate_locality_target_consistency,percent,8.102564102564102,8.935897435897436,0.8333333333333339
WikiRecent,32,17638,10,immediate_locality_target_consistency,percent,8.527777777777779,14.36111111111111,5.833333333333332
WikiRecent,32,17640,10,immediate_locality_target_consistency,percent,10.0,19.5,9.5
WikiRecent,32,17631,10,history_efficacy,percent,10.0,10.0,0.0
WikiRecent,32,17633,10,history_efficacy,percent,10.0,20.0,10.0
WikiRecent,32,17637,10,history_efficacy,percent,20.0,20.0,0.0
WikiRecent,32,17638,10,history_efficacy,percent,0.0,0.0,0.0
