method,seed,coefficient,avg_accuracy,avg_forgetting,result_file
mas,17331,0.1,89.47638611481862,3.2668194587146413,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17331/result.json
mas,17333,0.1,89.68897239477874,3.2743718121985466,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17333/result.json
mas,17335,0.1,91.6331685555672,1.7922840708010723,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17335/result.json
mas,17337,0.1,90.2011660129181,2.919317599954378,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17337/result.json
mas,17339,0.1,90.73925594736403,1.8990848922828973,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17339/result.json
mas,17341,0.1,91.48324653214108,2.384599198106644,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17341/result.json
mas,17343,0.1,91.23302788811326,1.9615506158758245,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17343/result.json
mas,17345,0.1,91.3875370420498,2.194015174463925,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17345/result.json
mas,17347,0.1,90.50470560950563,3.056558687512174,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17347/result.json
mas,17349,0.1,91.45347134005637,1.4749352653378451,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/mas/coefficient_0p1/seed_17349/result.json
si,17331,0.001,87.86625395550838,4.8765740113872305,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17331/result.json
si,17333,0.001,86.5513164447736,6.146711047300819,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17333/result.json
si,17335,0.001,86.95094804545928,6.324605258334232,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17335/result.json
si,17337,0.001,88.11713029251356,4.6032363462409105,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17337/result.json
si,17339,0.001,88.78748562423064,3.936936573701775,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17339/result.json
si,17341,0.001,89.25118681699823,4.14792815224489,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17341/result.json
si,17343,0.001,89.48079582460295,3.5975850872536856,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17343/result.json
si,17345,0.001,88.84803426357158,3.9593099622024077,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17345/result.json
si,17347,0.001,89.62897943928633,3.074942270584226,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17347/result.json
si,17349,0.001,86.9204108049786,5.566810566290893,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/si/coefficient_0p001/seed_17349/result.json
lwf,17331,0.5,77.59796707620966,15.794884421088573,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17331/result.json
lwf,17333,0.5,80.03475368958851,13.279957522489031,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17333/result.json
lwf,17335,0.5,82.1527719536769,11.459753975709992,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17335/result.json
lwf,17337,0.5,80.20576522959375,13.065205494419489,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17337/result.json
lwf,17339,0.5,83.132876736774,9.793051141882938,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17339/result.json
lwf,17341,0.5,84.18949878767963,9.531033013092216,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17341/result.json
lwf,17343,0.5,82.55019677080311,10.767696445284933,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17343/result.json
lwf,17345,0.5,80.24854825282398,13.263238334457084,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17345/result.json
lwf,17347,0.5,79.95654591713236,13.34370254692683,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17347/result.json
lwf,17349,0.5,81.07694290912998,12.00019911255677,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf/coefficient_0p5/seed_17349/result.json
lwf_ssr,17331,0.5,79.48287762020374,14.359686798121066,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17331/result.json
lwf_ssr,17333,0.5,77.40039052840483,16.68715645453405,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17333/result.json
lwf_ssr,17335,0.5,80.79194215878611,12.763533936535309,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17335/result.json
lwf_ssr,17337,0.5,79.64445467035935,13.838753602667103,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17337/result.json
lwf_ssr,17339,0.5,81.0785547609395,12.377358450095592,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17339/result.json
lwf_ssr,17341,0.5,81.31562391864055,13.069981232456723,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17341/result.json
lwf_ssr,17343,0.5,80.31403221504013,13.443680365300702,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17343/result.json
lwf_ssr,17345,0.5,78.03781659887295,16.295044193612647,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17345/result.json
lwf_ssr,17347,0.5,78.82970464436146,15.004417970021501,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17347/result.json
lwf_ssr,17349,0.5,79.264453370601,14.303244358342182,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/lwf_ssr/coefficient_0p5/seed_17349/result.json
