cohort,rank,ssr_lambda,edit_count,metric,baseline_mean,baseline_ci95_low,baseline_ci95_high,ssr_mean,ssr_ci95_low,ssr_ci95_high,delta_mean,delta_ci95_low,delta_ci95_high
independent_100,32,0.03,1,pre_edit_output_consistency,19.96109902858734,18.227966260164976,21.662505238316953,19.925773926079273,18.197954943869263,21.654280946124345,-0.035325102508068085,-0.09621505485847592,0.011043896432965994
independent_100,32,0.03,1,immediate_efficacy,90.0,70.0,100.0,90.0,70.0,100.0,0.0,0.0,0.0
independent_100,32,0.03,1,immediate_rephrase,70.0,40.0,100.0,70.0,40.0,100.0,0.0,0.0,0.0
independent_100,32,0.03,1,immediate_portability,10.0,0.0,30.0,10.0,0.0,30.0,0.0,0.0,0.0
independent_100,32,0.03,1,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,32,0.03,2,history_efficacy,40.0,25.0,50.0,40.0,25.0,50.0,0.0,-15.0,15.0
independent_100,32,0.03,2,pre_edit_output_consistency,21.5999130345881,18.399762607179582,25.22416872344911,21.1779878847301,18.29909313423559,24.52579262200743,-0.4219251498579979,-1.2010653503239155,0.15549371764063816
independent_100,32,0.03,2,immediate_efficacy,85.0,70.0,100.0,85.0,70.0,100.0,0.0,-15.0,15.0
independent_100,32,0.03,2,immediate_rephrase,60.0,40.0,80.0,60.0,40.0,80.0,0.0,-15.0,15.0
independent_100,32,0.03,2,immediate_portability,10.0,0.0,25.0,20.0,5.0,35.0,10.0,0.0,25.0
independent_100,32,0.03,2,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,32,0.03,5,history_efficacy,14.0,8.0,20.0,14.0,8.0,20.0,0.0,-8.0,8.0
independent_100,32,0.03,5,pre_edit_output_consistency,21.04300271719694,18.598355462308973,23.730325656943023,21.68449103832245,18.724452894181013,25.02837457926944,0.6414883211255074,-0.2084137601777911,1.7750578206032515
independent_100,32,0.03,5,immediate_efficacy,84.0,70.0,94.0,82.0,74.0,90.0,-2.0,-14.0,10.0
independent_100,32,0.03,5,immediate_rephrase,58.0,42.0,76.0,50.0,36.0,66.0,-8.0,-20.0,4.0
independent_100,32,0.03,5,immediate_portability,12.0,2.0,22.0,12.0,4.0,20.0,0.0,-6.0,6.0
independent_100,32,0.03,5,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,32,0.03,10,history_efficacy,5.0,2.0,8.0,6.0,3.0,9.0,1.0,-2.0,4.0
independent_100,32,0.03,10,pre_edit_output_consistency,19.784505423158407,18.108453125692904,21.476424612104893,19.2125703394413,17.648414575029165,20.697355550713837,-0.5719350837171078,-1.1440723771229386,-0.005999005865305737
independent_100,32,0.03,10,immediate_efficacy,73.0,63.0,84.0,74.0,65.0,83.0,1.0,-14.0,15.0
independent_100,32,0.03,10,immediate_rephrase,52.0,43.0,62.0,46.0,35.0,56.0,-6.0,-15.0,3.0
independent_100,32,0.03,10,immediate_portability,12.0,7.0,17.0,11.0,7.0,15.0,-1.0,-7.0,4.0
independent_100,32,0.03,10,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,32,0.03,25,history_efficacy,2.0,0.8,3.2,1.6,0.4,2.8,-0.4,-1.2,0.0
independent_100,32,0.03,25,pre_edit_output_consistency,20.012891702353954,18.072410008404404,22.29935032641515,19.856106266379356,17.90527517022565,22.079087561462075,-0.15678543597459793,-0.3709652740508318,0.028107699006795876
independent_100,32,0.03,25,immediate_efficacy,64.4,58.0,71.6,67.6,60.8,72.8,3.1999999999999993,-10.4,14.8
independent_100,32,0.03,25,immediate_rephrase,44.0,37.2,50.8,42.0,38.8,45.6,-2.0,-9.6,4.8
independent_100,32,0.03,25,immediate_portability,6.4,4.0,8.8,8.0,5.6,10.4,1.6,-1.6,4.8
independent_100,32,0.03,25,immediate_locality_target_consistency,0.0,0.0,0.0,0.2,0.0,0.6,0.2,0.0,0.6
independent_100,32,0.03,50,history_efficacy,1.2,0.6,1.8,1.4,0.8,2.0,0.2,0.0,0.6
independent_100,32,0.03,50,pre_edit_output_consistency,20.58304214850068,18.01650496944785,23.386747034732252,20.09137088432908,17.89389481721446,22.588611593469977,-0.49167126417160034,-1.3717629062011838,0.06858373060822487
independent_100,32,0.03,50,immediate_efficacy,58.4,50.6,66.8,62.8,56.8,68.2,4.4,-8.2,15.4
independent_100,32,0.03,50,immediate_rephrase,40.6,35.8,46.0,41.6,37.4,45.8,1.0000000000000007,-5.1999999999999975,6.6
independent_100,32,0.03,50,immediate_portability,7.2,5.2,9.4,9.0,7.4,10.6,1.8,0.0,3.4
independent_100,32,0.03,50,immediate_locality_target_consistency,0.2,0.0,0.6,0.6,0.0,1.3,0.4,0.0,1.0
independent_100,32,0.03,100,history_efficacy,0.78125,0.3125,1.25,0.9375,0.46875,1.40625,0.15625,-0.3125,0.625
independent_100,32,0.03,100,pre_edit_output_consistency,19.764446076005697,17.82653909549117,21.942067506723106,19.646836761385202,17.797982649877667,21.539102419279516,-0.11760931462049484,-0.5422051586210728,0.2548407460562884
independent_100,32,0.03,100,immediate_efficacy,54.2,46.4,63.1,58.9,54.1,63.6,4.700000000000001,-6.1,14.7
independent_100,32,0.03,100,immediate_rephrase,39.9,35.7,44.5,42.4,38.7,46.0,2.499999999999999,-3.500000000000002,7.8
independent_100,32,0.03,100,immediate_portability,8.0,6.1,9.902499999999964,9.5,8.5,10.6,1.4999999999999996,-2.6867397195928585e-16,3.0
independent_100,32,0.03,100,immediate_locality_target_consistency,0.4,0.1,0.75,0.7,0.25,1.2012499999999817,0.3,-0.1,0.85
independent_100,64,0.03,1,history_efficacy,90.0,70.0,100.0,80.0,50.0,100.0,-10.0,-30.0,0.0
independent_100,64,0.03,1,pre_edit_output_consistency,20.500563643872738,18.669948536437005,22.28422749368474,20.530745442956686,18.709810147993267,22.330105413217098,0.030181799083948135,0.000857178121805191,0.07026062859222292
independent_100,64,0.03,1,immediate_efficacy,90.0,70.0,100.0,80.0,50.0,100.0,-10.0,-30.0,0.0
independent_100,64,0.03,1,immediate_rephrase,50.0,20.0,80.0,50.0,20.0,80.0,0.0,0.0,0.0
