seed,metric,unit,favorable_direction,kd,kd_plus_ssr,favorable_paired_change,segmentation_source_sha256,segmentation_cache_sha256,selection_lock_sha256,control_file,treatment_file,control_sha256,treatment_sha256
9211,mIoU,%,higher,70.44448844309218,70.39237268883728,-0.052115754254899116,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9211/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9211/summary.json,581c67a5dc0d2fe702930767a335ff46203567dcbbb981564cf58b5aa34b4dd2,2cbdd58653e9c97cf0a519522fc68617717a88e62d0189788da47974222fec9b
9211,Dice,%,higher,81.93928062154542,81.90694132014147,-0.032339301403951026,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9211/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9211/summary.json,581c67a5dc0d2fe702930767a335ff46203567dcbbb981564cf58b5aa34b4dd2,2cbdd58653e9c97cf0a519522fc68617717a88e62d0189788da47974222fec9b
9211,IoU forgetting,%,lower,3.294059351261713,3.3658308422496965,-0.07177149098798363,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9211/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9211/summary.json,581c67a5dc0d2fe702930767a335ff46203567dcbbb981564cf58b5aa34b4dd2,2cbdd58653e9c97cf0a519522fc68617717a88e62d0189788da47974222fec9b
9211,effective rank,dimensionless,higher,173.90228271484375,173.91090393066406,0.0086212158203125,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9211/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9211/summary.json,581c67a5dc0d2fe702930767a335ff46203567dcbbb981564cf58b5aa34b4dd2,2cbdd58653e9c97cf0a519522fc68617717a88e62d0189788da47974222fec9b
9211,prototype absolute cosine,dimensionless,lower,0.049777597188949585,0.04976777359843254,9.823590517044067e-06,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9211/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9211/summary.json,581c67a5dc0d2fe702930767a335ff46203567dcbbb981564cf58b5aa34b4dd2,2cbdd58653e9c97cf0a519522fc68617717a88e62d0189788da47974222fec9b
9213,mIoU,%,higher,70.98895037507533,70.91734934396318,-0.07160103111215221,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9213/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9213/summary.json,b676833e31e19f6a616939bc7693d4307feb2b9d9b3203dc33f96bfbc148a990,73ce6060e91d0039b19f21bf8b03ace95c900ccf6cd1be2e5f529a2b6d04ca1e
9213,Dice,%,higher,82.34331197355137,82.29637726611584,-0.046934707435525524,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9213/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9213/summary.json,b676833e31e19f6a616939bc7693d4307feb2b9d9b3203dc33f96bfbc148a990,73ce6060e91d0039b19f21bf8b03ace95c900ccf6cd1be2e5f529a2b6d04ca1e
9213,IoU forgetting,%,lower,2.6767108960855173,2.744878625050272,-0.06816772896475465,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9213/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9213/summary.json,b676833e31e19f6a616939bc7693d4307feb2b9d9b3203dc33f96bfbc148a990,73ce6060e91d0039b19f21bf8b03ace95c900ccf6cd1be2e5f529a2b6d04ca1e
9213,effective rank,dimensionless,higher,173.6685028076172,173.67620849609375,0.0077056884765625,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9213/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9213/summary.json,b676833e31e19f6a616939bc7693d4307feb2b9d9b3203dc33f96bfbc148a990,73ce6060e91d0039b19f21bf8b03ace95c900ccf6cd1be2e5f529a2b6d04ca1e
9213,prototype absolute cosine,dimensionless,lower,0.04978787526488304,0.04977738857269287,1.0486692190170288e-05,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9213/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9213/summary.json,b676833e31e19f6a616939bc7693d4307feb2b9d9b3203dc33f96bfbc148a990,73ce6060e91d0039b19f21bf8b03ace95c900ccf6cd1be2e5f529a2b6d04ca1e
